Site,Energy Meter (IEM3255),Tanggal,Negative active,Positive Active,Daily GHI
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-11-17,3563.77,1.03,0.0022222222222222222
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-11-18,6524.66,1.62,0.020555555555555556
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-11-19,11653.18,2.25,5.063888888888889
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-11-20,16468.96,2.93,4.700277777777778
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-11-21,20047.74,3.57,3.477777777777778
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-11-22,25937.77,4.13,5.6325
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-11-23,30750.21,4.66,4.601944444444444
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-11-24,36286.13,5.26,
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-11-25,41679.63,5.84,2.9055555555555554
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-11-26,46420.25,6.42,4.506111111111111
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-11-27,50904.33,6.94,4.123055555555555
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-03,53410.54,7.44,2.4294444444444445
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-04,55898.61,8.02,2.091666666666667
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-05,60684.65,8.65,4.382777777777778
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-06,63623.43,9.31,2.5330555555555554
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-07,64407.91,9.95,1.51
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-08,69254.57,10.53,4.457222222222223
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-09,70470.05,11.16,1.0827777777777778
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-10,74145.27,11.75,3.192222222222222
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-11,78879.14,12.32,4.401944444444444
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-12,84361.03,12.88,5.115277777777778
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-13,89866.85,13.56,5.246111111111111
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-14,93888.28,14.05,3.6405555555555558
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-15,97552.22,14.51,3.381666666666667
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-16,101145.16,14.95,3.1819444444444445
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-17,105150.99,15.47,3.5708333333333333
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-18,110139.18,15.95,4.830277777777778
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-19,113788.49,16.42,3.7491666666666665
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-20,118852.76,16.94,4.847777777777778
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-21,121299.52,17.63,5.011111111111111
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-22,125510.49,18.3,3.8033333333333332
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-23,128054.89,18.91,2.285277777777778
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-24,132041.36,19.5,3.5505555555555555
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-25,135647.23,20.11,3.2241666666666666
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-26,138950.76,20.79,3.3108333333333335
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-27,143762.24,21.54,5.461388888888889
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-28,149916.57,22.15,5.7572222222222225
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-29,154575.87,22.74,4.341666666666667
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-30,159544.71,23.33,4.478888888888889
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2024-12-31,163602.19,23.82,3.741388888888889
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-01,168588.28,24.38,4.648611111111111
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-02,174959.08,25.08,6.141388888888889
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-03,179827.44,25.82,4.525277777777778
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-04,185372.3,26.41,5.187777777777778
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-05,191528.77,27.03,6.192222222222222
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-06,197534.93,27.65,5.9238888888888885
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-07,202500.27,28.4,4.713333333333333
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-08,207550.34,29.27,4.773333333333333
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-09,210467.38,30.19,2.555
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-10,215618.46,31.02,4.9463888888888885
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-11,220834.12,31.51,4.860833333333333
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-12,226343.82,31.93,5.246944444444444
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-13,230712.08,32.38,4.197777777777778
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-14,232471.89,32.98,2.0144444444444445
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-15,238919.22,33.62,6.133611111111111
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-16,243640.59,34.27,4.3005555555555555
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-17,247858.35,34.99,3.96
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-18,252435.92,35.6,4.1825
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-19,258053.46,36.14,5.378333333333333
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-20,261168.41,36.65,2.7672222222222222
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-21,264376.56,37.37,2.960277777777778
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-22,267782.78,38.14,3.047222222222222
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-23,272440.63,38.87,4.363611111111111
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-24,276696.15,39.73,3.912777777777778
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-25,281442.9,40.57,4.501944444444445
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-26,286952.12,41.19,5.231388888888889
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-27,290739.84,41.79,3.3202777777777777
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-28,292620.16,42.41,1.6452777777777778
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-30,299436.14,43.31,4.920555555555556
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-01-31,305297.72,43.84,5.633333333333333
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-02-01,309099.25,44.47,3.5480555555555555
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-02-02,313694.64,45.07,4.291388888888889
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-02-03,317939.52,45.72,3.883611111111111
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-02-04,321699.41,46.46,3.4902777777777776
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-02-05,326198.21,47.15,4.301111111111111
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-02-06,330301.32,47.96,3.821388888888889
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-02-07,335577.31,48.62,5.106111111111111
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-02-08,339553.41,49.28,3.763333333333333
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-02-09,345117.99,49.82,5.473055555555556
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-02-10,349091.02,50.37,3.658333333333333
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-02-11,353859.3,50.93,4.456666666666667
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-02-12,360377.35,51.46,6.469444444444444
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-02-13,367533.75,51.94,7.158055555555555
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-02-14,373404.38,52.41,5.909722222222222
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-02-15,377675.73,52.9,4.090833333333333
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-02-16,380946.56,53.39,3.1055555555555556
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-02-17,383903.16,53.81,2.7044444444444444
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-02-18,386715.8,54.29,2.6169444444444445
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-02-19,390916.92,54.76,3.9425
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-02-20,397224.26,55.23,6.165
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-02-21,400746.22,55.69,3.2241666666666666
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-02-22,403369.49,56.18,2.3344444444444443
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-02-23,406203.85,56.73,2.513333333333333
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-02-24,409649.05,57.31,3.292777777777778
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-02-25,415244.99,57.93,5.351666666666667
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-02-26,418252.61,58.42,2.7125
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-02-27,421334.26,58.93,2.915277777777778
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-02-28,426249.93,59.41,4.751111111111111
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-01,429194.26,59.94,2.942222222222222
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-02,434403.6,60.57,5.1275
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-03,438521.85,61.1,3.9230555555555555
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-04,440964.21,61.7,2.276111111111111
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-05,446635.51,62.29,5.661666666666667
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-06,451244.72,62.93,4.546388888888889
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-07,455496.1,63.5,3.9530555555555558
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-08,459526.84,64.08,4.043888888888889
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-09,463147.65,64.68,3.431111111111111
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-10,466720.58,65.26,3.3713888888888888
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-11,471560.96,65.86,4.858333333333333
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-12,477293.16,66.49,5.7975
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-13,481789.35,67.08,4.4025
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-14,486342.03,67.69,4.695
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-15,491762.0,68.57,5.269722222222223
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-16,495887.37,69.23,3.9283333333333332
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-17,498848.32,69.84,2.7816666666666667
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-18,503152.28,70.43,4.391944444444444
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-19,507950.48,70.92,5.1775
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-20,512411.22,71.58,4.774166666666667
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-21,518883.31,72.19,6.5472222222222225
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-22,521360.67,72.67,2.3558333333333334
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-23,526626.35,73.23,5.255277777777778
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-24,531680.05,73.79,4.97
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-25,535251.88,74.35,3.4355555555555557
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-26,539062.73,74.9,3.6572222222222224
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-27,541413.96,75.38,2.223055555555556
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-28,545489.37,75.87,3.873611111111111
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-29,550963.18,76.52,5.4125
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-30,556907.97,77.42,6.021111111111111
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-03-31,561982.76,78.1,5.1033333333333335
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-04-01,565184.48,78.69,2.193888888888889
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-04-02,569908.33,79.29,4.681666666666667
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-04-03,574724.72,79.85,4.848055555555556
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-04-04,578956.69,80.43,4.165
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-04-05,583619.26,81.18,4.6
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-04-06,588007.79,81.87,4.5075
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-04-10,606617.53,84.62,3.0858333333333334
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-04-11,609517.17,85.33,2.8961111111111113
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-04-12,612283.18,86.07,2.605
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-04-13,614652.44,86.63,2.2555555555555555
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-04-14,620740.82,87.37,5.891388888888889
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-04-15,623690.38,88.0,2.631944444444444
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-04-16,628755.17,88.57,4.9494444444444445
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-04-17,630753.11,89.09,1.7208333333333332
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-04-18,634735.09,89.8,3.7736111111111112
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-04-19,640662.26,90.52,5.714166666666666
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-04-20,646302.41,91.28,5.431666666666667
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-04-21,650053.79,91.79,3.388333333333333
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-04-22,654796.71,92.4,4.4880555555555555
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-04-23,660941.08,93.08,5.983055555555556
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-04-24,667019.05,94.13,5.964722222222222
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-04-25,671747.35,94.76,4.650833333333333
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-04-26,676374.31,95.61,4.455
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-04-27,680928.11,96.26,4.457777777777777
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-04-28,685664.52,96.85,4.56
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-04-29,690835.97,97.4,5.066944444444444
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-04-30,694461.05,98.07,3.486944444444444
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-01,699021.4,98.93,4.407777777777778
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-02,703084.42,99.47,3.8994444444444443
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-03,708350.0,100.06,5.1
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-04,712798.92,100.56,4.212777777777778
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-05,717311.97,101.15,4.424166666666666
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-06,721737.45,101.76,4.296388888888889
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-07,724414.99,102.37,2.5772222222222223
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-08,729177.21,103.03,4.605833333333333
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-09,734123.25,103.93,4.696666666666666
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-10,739453.81,104.97,5.246944444444444
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-11,743741.39,105.77,4.2
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-12,748289.09,106.3,4.28
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-13,753555.8,107.25,5.191944444444444
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-14,757316.07,107.75,3.578333333333333
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-15,760458.39,108.28,3.004166666666667
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-16,764237.1,108.93,3.6752777777777776
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-17,767738.76,109.43,3.444722222222222
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-18,772009.37,110.02,4.139166666666667
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-19,776760.84,110.54,4.599722222222222
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-20,779679.94,111.09,2.799444444444444
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-21,782095.75,111.66,2.2905555555555557
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-22,784715.37,112.23,2.4319444444444445
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-23,786760.33,112.77,1.8580555555555556
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-24,790371.2,113.35,3.4941666666666666
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-25,792852.76,113.87,2.2419444444444445
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-26,794737.53,114.46,1.7094444444444443
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-27,799904.95,115.1,5.150277777777778
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-28,804427.39,115.54,4.475
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-29,808247.78,116.01,3.758888888888889
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-30,812706.48,116.55,4.4366666666666665
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-05-31,817300.22,117.08,4.5183333333333335
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-06-01,820437.37,117.67,2.9297222222222223
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-06-02,825352.48,118.18,4.896944444444444
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-06-03,828807.9,118.69,3.4408333333333334
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-06-04,832111.72,119.24,3.1880555555555556
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-06-05,835755.11,119.74,3.5305555555555554
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-06-06,839651.36,120.27,3.777222222222222
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-06-07,844521.78,120.85,4.771944444444444
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-06-08,848961.98,121.45,4.440833333333333
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-06-09,852485.66,121.92,3.425
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-06-10,856175.19,122.55,3.5469444444444442
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-06-11,859669.59,123.09,3.3830555555555555
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-06-12,864567.13,123.72,4.8725
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-06-13,869515.45,124.69,4.918055555555555
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-06-14,873356.8,125.2,3.720277777777778
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-06-15,877234.03,125.65,3.862222222222222
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-06-16,881485.15,126.16,4.306111111111111
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-06-17,885139.63,126.72,3.6575
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-06-18,887151.31,127.28,1.863888888888889
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-06-19,888113.7,127.81,1.418611111111111
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-06-20,892177.82,128.32,3.9591666666666665
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-06-21,894781.14,128.89,2.473055555555556
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-06-22,899246.08,129.41,4.446111111111111
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-06-23,903621.98,129.87,4.316388888888889
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-06-24,907431.21,130.38,3.752222222222222
PT. Pusan Manis Mulia 2.06 MWp - Tangerang,RM-01-IEM3255-1,2025-06-25,911431.06,130.9,3.9652777777777777
